01/11/23	00:41:08	12.0	/	2.0		=		6.0
01/11/23	00:43:24	Начало работы
01/11/23	00:43:32	Первое число - (12.0, 2.0)
01/11/23	00:43:37	Второе число - (2.0, 12.0)
01/11/23	00:43:37	(12.0, 2.0)	+	(2.0, 12.0)		=		(12.0, 2.0, 2.0, 12.0)
01/11/23	00:47:48	Начало работы
01/11/23	00:48:45	Начало работы
01/11/23	00:49:44	Начало работы
01/11/23	00:51:29	Начало работы
01/11/23	00:51:33	Первое число - (12.0, 2.0)
01/11/23	00:51:36	Второе число - (2.0, 12.0)
01/11/23	00:51:36	(12.0, 2.0)	+	(2.0, 12.0)		=		(12.0, 2.0, 2.0, 12.0)
01/11/23	00:51:43	Начало работы
01/11/23	00:51:49	Первое число - (12.0, 2.0)
01/11/23	00:53:44	Начало работы
01/11/23	00:53:51	Первое число - (12.0, 2.0)
01/11/23	00:53:53	Второе число - (2.0, 12.0)
01/11/23	00:53:53	(12.0, 2.0)	+	(2.0, 12.0)		=		(12.0, 2.0, 2.0, 12.0)
01/17/23	00:22:42	Начало работы
01/17/23	00:30:00	Начало работы
01/17/23	00:30:05	Первое число - (12+2j)
01/17/23	00:30:07	Второе число - (2+12j)
01/17/23	00:30:07	(12+2j)	/	(2+12j)		=		(0.3243243243243243-0.9459459459459458j)
01/17/23	00:30:14	Начало работы
01/17/23	00:30:17	Первое число - (12+2j)
01/17/23	00:30:19	Второе число - (2+12j)
01/17/23	00:30:19	(12+2j)	+	(2+12j)		=		(14+14j)
01/17/23	00:30:21	Начало работы
01/17/23	00:30:29	Первое число - (12+2j)
01/17/23	00:30:32	Второе число - (3+2j)
01/17/23	00:30:32	(12+2j)	**	(3+2j)		=		(910.316400902984-919.7023525121135j)
01/17/23	00:31:26	Начало работы
01/17/23	00:31:36	Первое число - (12+9j)
01/17/23	00:31:36	√	(12+9j)		=		(3.6742346141747673+1.2247448713915892j)
01/17/23	00:34:55	Начало работы
01/17/23	00:35:08	Первое число - (9+4j)
01/17/23	00:35:08	√	(9+4j)		=		(3.069923272803093+0.6514820802585843j)
